ISO	Gold/medals	Silver/medals	Bronze/medals	total/medals	total weight/points	GDP.2011	pop.2010	GDP/per
TON	0	0	0	0	0	435,589,199.60	104,000	4188.357688
TTO	1	0	3	4	6	22,483,115,868.00	1,341,000	16765.93279
TUN	1	1	1	3	6	45,863,804,800.00	10,549,000	4347.692179
TUR	2	2	1	5	11	773,091,000,000.00	72,752,000	10626.38828
TUV	0	0	0	0	0	35,784,426.83	9,827	3641.439588
TWN	0	1	1	2	3	876,035,000,000.00	23,174,528	37801.6329
TZA	0	0	0	0	0	23,705,302,063.00	44,841,000	528.6523954
UGA	1	0	0	1	3	16,809,623,489.00	33,424,000	502.9207602
UKR	6	5	9	20	37	165,245,000,000.00	45,871,000	3602.384949
URY	0	0	0	0	0	46,709,797,684.00	3,357,000	13914.14885
USA	46	29	29	104	225	15,094,000,000,000.00	309,349,000	48792.78743
UZB	1	0	3	4	6	45,359,432,355.00	28,228,000	1606.89501
VCT	0	0	0	0	0	687,993,692.70	109,000	6311.86874
VEN	1	0	0	1	3	316,482,000,000.00	28,834,000	10976.00055
VGB	0	0	0	0	0	909,000,000.00	88,000	10329.54545
VIR	0	0	0	0	0	1,577,000,000.00	110,000	14336.36364
VNM	0	0	0	0	0	123,961,000,000.00	86,928,000	1426.019234
VUT	0	0	0	0	0	819,227,088.40	240,000	3413.446202
WSM	0	0	0	0	0	649,414,531.10	184,000	3529.426799
YEM	0	0	0	0	0	33,757,503,322.00	24,053,000	1403.463324
ZAF	3	2	1	6	14	408,237,000,000.00	49,991,000	8166.209918
ZMB	0	0	0	0	0	19,206,011,889.00	12,927,000	1485.728467
ZWE	0	0	0	0	0	9,900,000,000.00	12,571,000	787.5268475
